type,text
ham,"Hey tobias, I just got some free samples from the store. Do you want them?"
ham,"Tobias here, how are you"
spam,New header here
ham,THIS IS NOT SPAM!!
spam,"GET FREE MONEY NOW, ONLY NOW ONLY TODAY FREE MONEY IF YOU APPLY NOW!!!"
ham,THIS IS SPAM
ham,THIS EMAIL IS SPAM> FREE MONEY EVERYWHERE
ham,Having financial problems? Try this now!
ham,Having financial problems? Try this now! To get more money
ham,Having financial problems? Try this now! To get more money. FREE MONEY IF YOU APPLY NOW!
spam,FREE MONMEY IF YOU APPLY NOW TODAY!!
spam,FREE MONMEY IF YOU APPLY NOW TODAY!!
spam,"Free emails everyday, if you apply now!"
ham,hey there
ham,GET FREE EMAIL LIST NOW! Apply now and you will get my free email list
spam,FREE MONEY FREE MONEY FREE MONEY IF YOU CLICK ON THIS NOW!!
spam,FREE MONEY IF YOU APPLY NOW TODAY!!
ham,"Hey there, I am mailing you on behalf of our SPamming team to write you another spam email. Please Click This Email To Get Free Money Now if you Sign Up!"
spam,"""money free,"""
spam,get free valium
ham,"Hye man,, just ""checking in. You want free money or sum??@"
ham,This is Tobias
ham,This is not spam. Or is it??
ham,"Hello there, I am tobias"
